2026-07-07 17:16:39 | INFO | domnak | GET /api/v1/quotes/{{quote_id}} -> 401 (4ms)
2026-07-07 17:16:45 | INFO | domnak | GET /api/v1/quotes/{{quote_id}} -> 500 (742ms)
2026-07-07 17:19:31 | INFO | domnak | GET /api/v1/quotes/{quote_id} -> 500 (796ms)
2026-07-07 17:20:01 | INFO | domnak | POST /api/v1/quotes/ -> 200 (936ms)
2026-07-07 17:20:05 | INFO | domnak | GET /api/v1/quotes/ -> 200 (303ms)
2026-07-07 17:20:36 | INFO | domnak | GET /api/v1/quotes/{quote_id} -> 500 (715ms)
2026-07-07 17:28:37 | INFO | domnak | POST /api/v1/quotes/ -> 422 (700ms)
2026-07-07 17:28:48 | INFO | domnak | POST /api/v1/quotes/ -> 200 (1092ms)
2026-07-07 17:29:54 | INFO | domnak | GET /api/v1/quotes/{cc4000f9-a62c-40f9-a44e-f460bd800164} -> 200 (913ms)
2026-07-07 17:31:39 | INFO | domnak | POST /api/v1/line-items/ -> 401 (14ms)
2026-07-07 17:31:50 | INFO | domnak | POST /api/v1/line-items/ -> 200 (1729ms)
2026-07-07 17:32:24 | INFO | domnak | GET /api/v1/line-items/ -> 200 (1044ms)
2026-07-07 17:32:44 | INFO | domnak | GET /api/v1/line-items/{line_item_id} -> 405 (18ms)
2026-07-07 17:32:49 | INFO | domnak | GET /api/v1/line-items/{line_item_id} -> 405 (0ms)
2026-07-07 17:33:18 | INFO | domnak | GET /api/v1/line-items/aed47f9e-6990-4815-a53c-dc90d00c82cb -> 405 (2ms)
2026-07-07 17:33:28 | INFO | domnak | GET /api/v1/line-items/{aed47f9e-6990-4815-a53c-dc90d00c82cb} -> 405 (0ms)
2026-07-07 17:34:10 | INFO | domnak | GET /api/v1/line-items/"aed47f9e-6990-4815-a53c-dc90d00c82cb" -> 405 (1ms)
2026-07-07 17:34:11 | INFO | domnak | GET /api/v1/line-items/"aed47f9e-6990-4815-a53c-dc90d00c82cb" -> 405 (0ms)
2026-07-07 17:34:30 | INFO | domnak | GET /api/v1/line-items/aed47f9e-6990-4815-a53c-dc90d00c82cb -> 405 (1ms)
2026-07-07 17:35:09 | INFO | domnak | GET /api/v1/line-items/aed47f9e-6990-4815-a53c-dc90d00c82cb -> 405 (1ms)
2026-07-07 17:35:10 | INFO | domnak | GET /api/v1/line-items/aed47f9e-6990-4815-a53c-dc90d00c82cb -> 405 (0ms)
2026-07-07 17:35:29 | INFO | domnak | GET /api/v1/line-items/ -> 200 (1482ms)
2026-07-07 17:35:46 | INFO | domnak | GET /api/v1/line-items/12908df9-d56e-4e1e-95f0-08eafadd4eff -> 405 (0ms)
2026-07-07 17:37:48 | INFO | domnak | GET /api/v1/line-items/aed47f9e-6990-4815-a53c-dc90d00c82cb -> 200 (1604ms)
2026-07-07 17:44:22 | INFO | domnak | POST /api/v1/pdf/upload -> 422 (23ms)
2026-07-07 17:46:05 | INFO | domnak | POST /api/v1/pdf/upload -> 400 (771ms)
2026-07-07 17:47:19 | INFO | domnak | GET /api/v1/estimator/ -> 405 (11ms)
2026-07-07 17:47:47 | INFO | domnak | GET /api/v1/estimator/ -> 405 (0ms)
2026-07-07 17:48:09 | INFO | domnak | GET /api/v1/health/ -> 404 (1ms)
2026-07-07 17:48:46 | INFO | domnak | GET /api/v1/estimator/ -> 405 (1ms)
2026-07-07 17:49:27 | INFO | domnak | GET /api/v1/estimator/ -> 405 (1ms)
2026-07-07 17:49:49 | INFO | domnak | GET /docs -> 200 (1ms)
2026-07-07 17:49:49 | INFO | domnak | GET /openapi.json -> 200 (33ms)
2026-07-07 17:50:19 | INFO | domnak | POST /api/v1/estimator/ -> 422 (5ms)
2026-07-07 17:50:30 | INFO | domnak | POST /api/v1/estimator/ -> 422 (1ms)
2026-07-07 17:50:31 | INFO | domnak | POST /api/v1/estimator/ -> 422 (1ms)
2026-07-07 17:51:02 | INFO | domnak | POST /api/v1/estimator/ -> 422 (5ms)
2026-07-07 17:51:04 | INFO | domnak | POST /api/v1/estimator/ -> 422 (1ms)
2026-07-07 17:51:10 | INFO | domnak | POST /api/v1/estimator/ -> 422 (4ms)
2026-07-07 17:51:38 | INFO | domnak | GET /api/v1/quotes/ -> 200 (1818ms)
2026-07-07 17:52:06 | INFO | domnak | POST /api/v1/estimator/ -> 422 (4ms)
2026-07-07 17:52:20 | INFO | domnak | POST /api/v1/estimator/ -> 422 (1ms)
2026-07-07 17:52:59 | INFO | domnak | Estimate calculated: 120.5m² standard in phnom_penh
2026-07-07 17:52:59 | INFO | domnak | POST /api/v1/estimator/ -> 200 (7ms)
2026-07-07 17:53:41 | INFO | domnak | Fetched all suppliers
2026-07-07 17:53:41 | INFO | domnak | GET /api/v1/suppliers/ -> 200 (999ms)
2026-07-07 17:54:21 | INFO | domnak | POST /api/v1/suppliers/ -> 403 (776ms)
2026-07-07 17:57:43 | ERROR | domnak | Analysis failed for quote 1debe18a-f9f3-49a1-a22f-a368714ebeed: {'message': 'invalid input value for enum verdict_type: "overpriced"', 'code': '22P02', 'hint': None, 'details': None}
2026-07-07 17:57:43 | INFO | domnak | POST /api/v1/analyze/1debe18a-f9f3-49a1-a22f-a368714ebeed -> 500 (2418ms)
2026-07-07 18:03:49 | INFO | domnak | Quote 1debe18a-f9f3-49a1-a22f-a368714ebeed analyzed — 2 items processed
2026-07-07 18:03:49 | INFO | domnak | POST /api/v1/analyze/1debe18a-f9f3-49a1-a22f-a368714ebeed -> 200 (3282ms)
2026-07-07 18:07:11 | INFO | domnak | GET /api/v1/chat/ -> 200 (11ms)
2026-07-07 18:07:51 | INFO | domnak | POST /api/v1/chat/chat/stream -> 200 (496ms)
2026-07-07 18:08:11 | INFO | domnak | POST /api/v1/chat/chat/stream -> 500 (443ms)
2026-07-07 18:10:56 | INFO | domnak | POST /api/v1/chat/chat/stream -> 401 (702ms)
2026-07-07 18:11:33 | INFO | domnak | POST /api/v1/auth/login -> 200 (1507ms)
2026-07-07 18:12:02 | INFO | domnak | POST /api/v1/chat/chat/stream -> 500 (522ms)
2026-07-07 18:12:58 | INFO | domnak | GET /api/v1/chat/ -> 200 (2ms)
2026-07-07 18:14:00 | INFO | domnak | POST /api/v1/chat/chat/stream -> 500 (586ms)
2026-07-07 18:14:35 | INFO | domnak | POST /api/v1/chat/chat/stream -> 200 (582ms)
2026-07-07 18:22:43 | INFO | domnak | POST /api/v1/chat/chat/stream -> 500 (1165ms)
2026-07-07 18:25:15 | INFO | domnak | POST /api/v1/chat/chat/stream -> 500 (1012ms)
2026-07-07 18:25:53 | INFO | domnak | POST /api/v1/chat/chat/stream -> 200 (1855ms)
2026-07-07 20:27:00 | INFO | domnak | POST /api/v1/auth/login -> 200 (1964ms)
2026-07-07 20:28:25 | INFO | domnak | GET /health -> 200 (20ms)
2026-07-07 20:28:33 | INFO | domnak | GET /api/v1/auth/me -> 200 (2311ms)
2026-07-07 20:28:44 | INFO | domnak | POST /api/v1/quotes/ -> 200 (935ms)
2026-07-07 20:28:56 | INFO | domnak | GET /api/v1/quotes/ -> 200 (906ms)
2026-07-07 20:29:15 | INFO | domnak | GET /api/v1/quotes/ -> 200 (1223ms)
2026-07-07 20:29:34 | INFO | domnak | GET /api/v1/quotes/ -> 401 (3ms)
2026-07-07 20:29:52 | INFO | domnak | GET /api/v1/quotes/ -> 200 (887ms)
2026-07-07 20:30:06 | INFO | domnak | GET /api/v1/quotes/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf -> 200 (940ms)
2026-07-07 20:30:11 | INFO | domnak | POST /api/v1/line-items/ -> 200 (1235ms)
2026-07-07 20:30:15 | INFO | domnak | GET /api/v1/line-items/ -> 200 (1079ms)
2026-07-07 20:30:18 | INFO | domnak | GET /api/v1/line-items/ -> 422 (160ms)
2026-07-07 20:30:22 | INFO | domnak | PATCH /api/v1/line-items/ -> 405 (13ms)
2026-07-07 20:30:26 | INFO | domnak | Estimate calculated: 120.5m² standard in phnom_penh
2026-07-07 20:30:26 | INFO | domnak | POST /api/v1/estimator/ -> 200 (9ms)
2026-07-07 20:30:32 | INFO | domnak | POST /api/v1/boq/calculate -> 200 (690ms)
2026-07-07 20:30:40 | INFO | domnak | Quote 6a4503ad-8d5c-47e7-8e4e-a973e803b7bf analyzed — 1 items processed
2026-07-07 20:30:40 | INFO | domnak | POST /api/v1/analyze/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf -> 200 (2659ms)
2026-07-07 20:30:41 | INFO | domnak | GET /api/v1/analyze/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf -> 200 (752ms)
2026-07-07 20:30:46 | INFO | domnak | POST /api/v1/chat/chat/stream -> 200 (2143ms)
2026-07-07 20:30:48 | INFO | domnak | GET /api/v1/quotes/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf/share -> 404 (1ms)
2026-07-07 20:30:52 | INFO | domnak | GET /api/v1/quotes/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf/report -> 404 (0ms)
2026-07-07 20:30:56 | INFO | domnak | DELETE /api/v1/line-items/ -> 405 (9ms)
2026-07-07 20:31:01 | INFO | domnak | DELETE /api/v1/quotes/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf -> 200 (1103ms)
2026-07-07 20:31:12 | INFO | domnak | GET /api/v1/quotes/6a4503ad-8d5c-47e7-8e4e-a973e803b7bf -> 403 (763ms)
2026-07-07 20:31:12 | INFO | domnak | POST /api/v1/line-items/ -> 500 (549ms)
2026-07-07 20:31:13 | INFO | domnak | GET /api/v1/line-items/ -> 500 (543ms)
